地区名,年份,制造业,房地产,互联网,金融,服务业,销售业,农牧业,教育,运输业
广东,2015,6,4,3,0,1,0,0,0,0
浙江,2015,7,4,3,2,0,0,1,0,0
河南,2015,1,1,0,0,0,0,1,0,0
江苏,2015,5,3,2,0,0,0,1,0,0
四川,2015,1,1,0,0,0,0,2,0,0
上海,2015,1,1,1,0,0,1,0,0,0
安徽,2015,2,0,0,2,0,2,0,0,0
福建,2015,1,4,0,1,0,1,0,0,0
重庆,2015,0,1,0,1,0,0,0,0,0
山东,2015,2,1,2,1,0,0,0,0,0
湖北,2015,0,0,0,1,0,0,0,0,0
山西,2015,0,0,2,0,0,0,0,0,0
河北,2015,2,1,0,0,0,0,0,0,0
吉林,2015,0,0,0,0,0,0,0,0,0
宁夏,2015,0,0,0,0,0,0,0,0,0
云南,2015,0,0,0,0,0,0,0,0,0
湖南,2015,3,1,1,0,0,0,0,0,0
北京,2015,2,2,0,1,0,0,0,0,0
广西,2015,0,0,0,0,0,0,0,0,0
辽宁,2015,1,1,0,0,1,0,0,0,0
江西,2015,0,0,1,0,0,0,0,0,0
陕西,2015,0,0,0,0,0,0,0,0,0
天津,2015,1,0,0,0,0,0,0,0,0
新疆,2015,0,0,0,0,0,1,0,0,0
甘肃,2015,1,0,0,0,0,0,0,0,0
贵州,2015,1,0,0,0,0,0,0,0,0
黑龙江,2015,0,0,0,0,0,0,0,0,0
内蒙古,2015,0,0,0,2,0,0,0,0,0
广东,2016,10,5,3,5,0,0,0,0,0
浙江,2016,9,2,1,2,0,0,0,0,0
河南,2016,1,0,0,1,0,0,0,0,0
江苏,2016,8,2,0,0,0,1,0,0,0
四川,2016,2,1,0,0,0,0,1,0,0
上海,2016,2,0,1,3,1,0,0,0,0
安徽,2016,0,0,0,0,0,0,0,0,0
福建,2016,2,3,0,0,0,1,0,0,0
重庆,2016,0,0,0,0,0,0,0,0,0
山东,2016,2,0,0,1,0,0,0,0,0
湖北,2016,0,1,1,0,0,0,0,0,0
山西,2016,0,0,0,0,0,0,0,0,0
