排名,财富 (人民币),姓名,地区,年龄,关联企业,主营行业,行业大类
1,2750 亿,马云家族,浙江,55,阿里系,电子商务、金融科技,互联网
2,2600 亿,马化腾,广东,48,腾讯,互联网服务,互联网
3,2100 亿,许家印,河南,61,恒大,房地产、投资,房地产
4,1800 亿,何享健、何剑锋父子,广东,77、52,美的,家电制造、房地产,房地产
5,1750 亿,孙飘扬、钟慧娟夫妇,江苏,61、58,恒瑞制药、翰森制药,医药,制造业
5,1750 亿,杨惠妍家族,广东,38,碧桂园,房地产,房地产
7,1350 亿,黄峥,浙江,39,拼多多,购物网站,互联网
8,1250 亿,丁磊,浙江,48,网易,互联网技术,互联网
9,1200 亿,王健林家族,四川,65,万达,房地产、文化,房地产
9,1200 亿,严昊,江苏,33,太平洋建设,基础建设,制造业
9,1200 亿,张勇、舒萍夫妇,四川,48、49,海底捞,餐饮,服务业
12,1100 亿,王卫,上海,49,顺丰,快递,运输业
13,1050 亿,陈建华、范红卫夫妇,江苏,48、52,恒力,化纤、石化、房地产,房地产
13,1050 亿,张志东,广东,47,腾讯,互联网服务,互联网
15,1000 亿,李书福家族,浙江,56,吉利,汽车制造,制造业
15,1000 亿,秦英林、钱瑛夫妇,河南,54、53,牧原,畜牧,农牧业
15,1000 亿,王文银家族,安徽,51,正威,有色金属,制造业
15,1000 亿,姚振华,广东,49,宝能,投资、房地产,金融
15,1000 亿,张近东,安徽,56,苏宁,零售、房地产,销售业
20,950 亿,林立,广东,56,立业,金融、投资,金融
20,950 亿,许荣茂家族,福建,69,世茂,房地产,房地产
20,950 亿,张一鸣,福建,36,字节跳动,推荐引擎,互联网
23,850 亿,庞康,广东,63,海天味业,食品,制造业
23,850 亿,吴亚军家族,重庆,55,龙湖,房地产,房地产
23,850 亿,宗庆后家族,江苏,74,娃哈哈,饮料,制造业
26,800 亿,刘永好家族,四川,68,新希望,农业、化工、金融,制造业
26,800 亿,严彬,山东,65,华彬,饮料、地产,制造业
28,760 亿,刘强东,江苏,45,京东,电子商务、金融,销售业
29,750 亿,雷军,湖北,50,小米,智能硬件与技术、投资,互联网
30,700 亿,刘永行家族,四川,71,东方希望,氧化铝、重化工、饲料,制造业
30,700 亿,卢志强家族,山东,67,泛海,金融、房地产,金融
30,700 亿,徐航,广东,57,迈瑞、鹏瑞,医疗设备、房地产,制造业
33,680 亿,孙宏斌,山西,56,融创,房地产,房地产
34,650 亿,龚虹嘉、陈春梅夫妇,浙江,54、54,海康威视,视频监控产品,制造业
34,650 亿,李彦宏、马东敏夫妇,山西,51、49,百度,搜索引擎,互联网
34,650 亿,郑淑良家族,山东,73,魏桥创业,纺织、铝业,制造业
37,640 亿,王玉锁、赵宝菊夫妇,河北,55、54,新奥,天然气、能源化工,制造业
38,625 亿,谢炳家族,广东,67,中国生物,医药,制造业
39,610 亿,李华,四川,53,卓越,房地产,房地产
40,600 亿,李西廷,安徽,68,迈瑞,医疗设备,制造业
40,600 亿,鲁忠芳、李永新母子,吉林,77、43,中公教育,教育,教育
40,600 亿,马建荣家族,浙江,54,申洲针织,纺织、服装,制造业
40,600 亿,许世辉家族,福建,62,达利制造业,食品,制造业
44,590 亿,党彦宝,宁夏,46,宝丰,煤炭采选业,制造业
45,570 亿,郭广昌,浙江,52,复星,投资,金融
46,560 亿,施永宏、李海燕夫妇,云南,49、/,海底捞,餐饮,服务业
47,530 亿,陈邦,湖南,54,爱尔眼科,医疗服务,服务业
47,530 亿,陈东升家族,湖北,62,泰康,保险,服务业
49,525 亿,陈丽华,北京,78,富华,房地产、紫檀博物馆,房地产
50,520 亿,蒋仁生家族,广西,66,智飞生物,疫苗,服务业
51,500 亿,蔡奎家族,四川,58,龙湖,房地产,房地产
51,500 亿,纪海鹏家族,广东,52,龙光地产,房地产,房地产
51,500 亿,沈国军家族,浙江,57,银泰,零售、房地产、物流,销售业
54,490 亿,聂腾云、陈立英夫妇,上海,43、44,韵达,物流,运输业
55,485 亿,王文学,河北,52,华夏幸福,房地产,房地产
56,470 亿,汪滔,浙江,39,大疆,无人飞机,制造业
57,450 亿,曾毓群,福建,51,宁德时代,锂电池,制造业
57,450 亿,朱保国家族,河南,57,健康元,医药,制造业
59,440 亿,刘汉元、管亚梅夫妇,四川,55、/,通威,农业、新能源,制造业
59,440 亿,张邦鑫,江苏,39,好未来,教育,教育
59,440 亿,张帆,广东,54,汇顶科技,人机交互,互联网
62,430 亿,徐镜人,江苏,75,扬子江药业,医药,制造业
62,430 亿,周鸿祎,湖北,49,三六零安全科技,互联网安全与软件、搜索,互联网
64,405 亿,张宏伟,山东,65,东方,能源、零售,制造业
65,400 亿,陈天桥、雒芊芊夫妇,浙江,46,盛大,投资,金融
65,400 亿,杜双华,河北,54,日照钢铁,钢铁,制造业
65,400 亿,刘益谦家族,上海,56,新理益,投资,金融
65,400 亿,王兴,福建,40,美团点评,生活服务,服务业
65,400 亿,张劲,广东,48,雪松控股,投资、房地产,金融
70,395 亿,方威,辽宁,46,方大,碳素、钢铁、煤焦,制造业
